
Gem Systems GSM-19W 3101329 v6.0 24 X 2003 
ID 1 file 23c-ost .b   09 VII10
datum  48000.00


115014.0  48484.12 99
115015.0  48487.04 99
115016.0  48489.92 99
115017.0  48488.16 99
115018.0  48486.06 99
115019.0  48487.17 99
115020.0  48487.44 99
115021.0  48487.68 99
115022.0  48488.17 99
115023.0  48487.94 99
115024.0  48486.91 99
115025.0  48486.38 99
115026.0  48486.11 99
115027.0  48484.26 99
115028.0  48482.47 99
115029.0  48480.50 99
115030.0  48478.10 99
115031.0  48478.33 99
115032.0  48477.41 99
115033.0  48476.81 99
115034.0  48475.47 99
115035.0  48475.89 99
115036.0  48478.12 99
115037.0  48478.69 99
115038.0  48478.53 99
115039.0  48478.46 99
115040.0  48478.77 99
115041.0  48479.80 99
115042.0  48483.61 99
115043.0  48484.16 99
115044.0  48484.75 99
115045.0  48484.97 99
115046.0  48484.96 99
115047.0  48484.61 99
115048.0  48484.01 99
115049.0  48482.35 99
115050.0  48481.69 99
115051.0  48482.29 99
115052.0  48482.45 99
115053.0  48483.13 99
115054.0  48483.16 99
115055.0  48484.08 99
115056.0  48483.99 99
115057.0  48483.59 99
115058.0  48482.90 99
115059.0  48483.02 99
115100.0  48483.68 99
115101.0  48483.86 99
115102.0  48484.41 99
115103.0  48484.02 99
115104.0  48483.73 99
115105.0  48483.33 99
115106.0  48483.02 99
115107.0  48483.28 99
115108.0  48483.52 99
115109.0  48483.86 99
115110.0  48483.41 99
115111.0  48482.66 99
115112.0  48482.85 99
115113.0  48482.87 99
115114.0  48482.76 99
115115.0  48483.97 99
115116.0  48484.44 99
115117.0  48484.77 99
115118.0  48484.88 99
115119.0  48484.63 99
115120.0  48485.17 99
115121.0  48484.69 99
115122.0  48483.79 99
115123.0  48483.57 99
115124.0  48484.16 99
115125.0  48484.13 99
115126.0  48484.49 99
115127.0  48484.48 99
115128.0  48484.14 99
115129.0  48485.21 99
115130.0  48485.00 99
115131.0  48484.92 99
115132.0  48486.28 99
115133.0  48486.88 99
115134.0  48486.75 99
115135.0  48486.73 99
115136.0  48487.65 99
115137.0  48488.47 99
115138.0  48488.78 99
115139.0  48489.27 99
115140.0  48489.90 99
115141.0  48490.11 99
115142.0  48490.05 99
115143.0  48489.10 99
115144.0  48488.79 99
115145.0  48488.83 99
115146.0  48489.20 99
115147.0  48488.68 99
115148.0  48487.46 99
115149.0  48486.58 99
115150.0  48486.10 99
115151.0  48485.77 99
115152.0  48485.62 99
115153.0  48485.53 99
115154.0  48484.78 99
115155.0  48484.54 99
115156.0  48484.17 99
115157.0  48483.56 99
115158.0  48483.91 99
115159.0  48483.84 99
115200.0  48483.01 99
115201.0  48482.70 99
115202.0  48483.00 99
115203.0  48482.77 99
115204.0  48483.50 99
115205.0  48484.00 99
115206.0  48483.92 99
115207.0  48483.82 99
115208.0  48483.66 99
115209.0  48483.30 99
115210.0  48483.02 99
115211.0  48482.33 99
115212.0  48481.96 99
115213.0  48482.00 99
115214.0  48481.95 99
115215.0  48482.19 99
115216.0  48482.71 99
115217.0  48483.40 99
115218.0  48483.58 99
115219.0  48483.64 99
115220.0  48483.33 99
115221.0  48482.93 99
115222.0  48482.78 99
115223.0  48482.14 99
115224.0  48481.96 99
115225.0  48482.07 99
115226.0  48482.26 99
115227.0  48483.11 99
115228.0  48483.66 99
115229.0  48483.60 99
115230.0  48483.74 99
115231.0  48483.48 99
115232.0  48483.53 99
115233.0  48484.27 99
115234.0  48484.71 99
115235.0  48485.53 99
115236.0  48485.80 99
115237.0  48486.21 99
115238.0  48486.66 99
115239.0  48486.89 99
115240.0  48487.18 99
115241.0  48487.34 99
115242.0  48487.68 99
115243.0  48488.11 99
115244.0  48488.18 99
115245.0  48487.93 99
115246.0  48487.52 99
115247.0  48487.74 99
115248.0  48488.21 99
115249.0  48489.37 99
115250.0  48489.99 99
115251.0  48489.86 99
115252.0  48489.89 99
115253.0  48489.92 99
115254.0  48490.38 99
115255.0  48490.01 99
115256.0  48489.29 99
115257.0  48489.03 99
115258.0  48488.22 99
115259.0  48488.06 99
115300.0  48487.80 99
115301.0  48487.68 99
115302.0  48487.38 99
115303.0  48487.25 99
115304.0  48486.91 99
115305.0  48486.97 99
115306.0  48487.44 99
115307.0  48487.63 99
115308.0  48487.82 99
115309.0  48488.03 99
115310.0  48488.10 99
115311.0  48487.22 99
115312.0  48486.93 99
115313.0  48487.03 99
115314.0  48487.37 99
115315.0  48487.47 99
115316.0  48487.42 99
115317.0  48487.21 99
115318.0  48486.52 99
115319.0  48485.86 99
115320.0  48485.23 99
115321.0  48484.83 99
115322.0  48485.03 99
115323.0  48484.83 99
115324.0  48484.43 99
115325.0  48484.47 99
115326.0  48484.46 99
115327.0  48484.88 99
115328.0  48485.45 99
115329.0  48485.97 99
115330.0  48486.16 99
115331.0  48486.34 99
115332.0  48486.26 99
115333.0  48486.28 99
115334.0  48485.99 99
115335.0  48485.76 99
115336.0  48485.84 99
115337.0  48486.09 99
115338.0  48486.13 99
115339.0  48485.99 99
115340.0  48485.32 99
115341.0  48485.19 99
115342.0  48485.29 99
115343.0  48485.31 99
115344.0  48485.07 99
115345.0  48484.70 99
115346.0  48484.99 99
115347.0  48485.28 99
115348.0  48485.60 99
115349.0  48486.55 99
115350.0  48487.26 99
115351.0  48487.67 99
115352.0  48487.34 99
115353.0  48487.28 99
115354.0  48487.25 99
115355.0  48486.77 99
115356.0  48486.93 99
115357.0  48486.66 99
115358.0  48486.58 99
115359.0  48486.53 99
115400.0  48486.20 99
115401.0  48485.72 99
115402.0  48485.72 99
115403.0  48485.70 99
115404.0  48486.65 99
115405.0  48487.20 99
115406.0  48487.68 99
115407.0  48487.83 99
115408.0  48488.01 99
115409.0  48488.31 99
115410.0  48488.12 99
115411.0  48487.46 99
115412.0  48487.01 99
115413.0  48486.62 99
115414.0  48486.52 99
115415.0  48486.49 99
115416.0  48486.22 99
115417.0  48486.12 99
115418.0  48486.51 99
115419.0  48486.73 99
115420.0  48486.63 99
115421.0  48485.97 99
115422.0  48485.62 99
115423.0  48485.72 99
115424.0  48485.85 99
115425.0  48485.75 99
115426.0  48485.65 99
115427.0  48485.55 99
115428.0  48485.80 99
