
Gem Systems GSM-19W 3101329 v6.0 24 X 2003 
ID 1 file 24c-sch .b   09 VII10
datum  48000.00


123248.0  48539.44 99
123249.0  48540.63 99
123250.0  48540.81 99
123251.0  48539.05 99
123252.0  48537.75 99
123253.0  48538.27 99
123254.0  48539.58 99
123255.0  48541.39 99
123256.0  48539.44 99
123257.0  48537.21 99
123258.0  48535.22 99
123259.0  48536.13 99
123300.0  48537.86 99
123301.0  48540.35 99
123302.0  48539.65 99
123303.0  48538.68 99
123304.0  48536.82 99
123305.0  48536.90 99
123306.0  48538.26 99
123307.0  48540.38 99
123308.0  48541.36 99
123309.0  48540.70 99
123310.0  48539.26 99
123311.0  48537.27 99
123312.0  48538.60 99
123313.0  48540.47 99
123314.0  48541.07 99
123315.0  48542.24 99
123316.0  48540.86 99
123317.0  48539.63 99
123318.0  48538.35 99
123319.0  48537.58 99
123320.0  48538.04 99
123321.0  48539.94 99
123322.0  48540.79 99
123323.0  48539.16 99
123324.0  48537.36 99
123325.0  48534.74 99
123326.0  48535.44 99
123327.0  48537.11 99
123328.0  48539.41 99
123329.0  48538.25 99
123330.0  48536.85 99
123331.0  48534.92 99
123332.0  48536.09 99
123333.0  48537.11 99
123334.0  48538.48 99
123335.0  48538.46 99
123336.0  48537.45 99
123337.0  48535.14 99
123338.0  48534.22 99
123339.0  48535.53 99
123340.0  48536.93 99
123341.0  48539.17 99
123342.0  48538.76 99
123343.0  48537.69 99
123344.0  48536.58 99
123345.0  48535.38 99
123346.0  48536.30 99
123347.0  48537.43 99
123348.0  48539.27 99
123349.0  48538.40 99
123350.0  48536.71 99
123351.0  48535.51 99
123352.0  48534.41 99
123353.0  48535.85 99
123354.0  48536.58 99
123355.0  48538.26 99
123356.0  48538.11 99
123357.0  48537.45 99
123358.0  48536.37 99
123359.0  48536.13 99
123400.0  48537.17 99
123401.0  48537.79 99
123402.0  48539.02 99
123403.0  48539.75 99
123404.0  48538.79 99
123405.0  48538.22 99
123406.0  48536.47 99
123407.0  48538.15 99
123408.0  48539.90 99
123409.0  48543.05 99
123410.0  48543.69 99
123411.0  48542.56 99
123412.0  48540.35 99
123413.0  48538.83 99
123414.0  48540.21 99
123415.0  48541.46 99
123416.0  48543.43 99
123417.0  48542.43 99
123418.0  48540.75 99
123419.0  48539.05 99
123420.0  48539.35 99
123421.0  48540.40 99
123422.0  48541.99 99
123423.0  48543.37 99
123424.0  48541.14 99
123425.0  48539.22 99
123426.0  48537.52 99
123427.0  48539.05 99
123428.0  48539.96 99
123429.0  48540.93 99
123430.0  48541.26 99
123431.0  48539.98 99
123432.0  48538.10 99
123433.0  48536.70 99
123434.0  48538.18 99
123435.0  48541.10 99
123436.0  48543.05 99
123437.0  48541.69 99
123438.0  48540.65 99
123439.0  48538.87 99
123440.0  48539.43 99
123441.0  48541.15 99
123442.0  48541.97 99
123443.0  48541.29 99
123444.0  48540.22 99
123445.0  48538.69 99
123446.0  48538.84 99
123447.0  48540.41 99
123448.0  48543.57 99
123449.0  48543.61 99
123450.0  48541.79 99
123451.0  48540.14 99
123452.0  48538.25 99
123453.0  48539.09 99
123454.0  48540.10 99
123455.0  48541.70 99
123456.0  48540.78 99
123457.0  48539.45 99
123458.0  48537.68 99
123459.0  48536.52 99
123500.0  48537.32 99
123501.0  48539.10 99
123502.0  48540.95 99
123503.0  48541.25 99
123504.0  48539.93 99
123505.0  48538.06 99
123506.0  48538.22 99
123507.0  48539.01 99
123508.0  48539.93 99
123509.0  48540.21 99
123510.0  48538.37 99
123511.0  48536.33 99
123512.0  48534.75 99
123513.0  48536.03 99
123514.0  48538.79 99
123515.0  48540.78 99
123516.0  48541.36 99
123517.0  48540.22 99
123518.0  48537.99 99
123519.0  48536.95 99
123520.0  48537.77 99
123521.0  48539.45 99
123522.0  48541.69 99
123523.0  48540.21 99
123524.0  48539.12 99
123525.0  48537.93 99
123526.0  48539.04 99
123527.0  48540.01 99
123528.0  48540.88 99
123529.0  48542.75 99
123530.0  48540.68 99
123531.0  48539.55 99
123532.0  48537.65 99
123533.0  48538.68 99
123534.0  48540.42 99
123535.0  48542.61 99
123536.0  48542.71 99
123537.0  48542.02 99
123538.0  48541.34 99
123539.0  48539.99 99
123540.0  48538.48 99
123541.0  48539.70 99
123542.0  48541.02 99
123543.0  48542.78 99
123544.0  48541.57 99
123545.0  48540.22 99
123546.0  48537.57 99
123547.0  48538.18 99
123548.0  48539.26 99
123549.0  48541.35 99
123550.0  48543.61 99
123551.0  48542.55 99
123552.0  48541.45 99
123553.0  48539.31 99
123554.0  48539.25 99
123555.0  48540.61 99
123556.0  48543.14 99
123557.0  48543.54 99
123558.0  48542.14 99
123559.0  48540.32 99
123600.0  48539.93 99
123601.0  48541.04 99
123602.0  48542.67 99
123603.0  48544.07 99
123604.0  48542.13 99
123605.0  48540.70 99
123606.0  48539.13 99
123607.0  48540.12 99
123608.0  48541.72 99
123609.0  48543.38 99
123610.0  48542.78 99
123611.0  48541.33 99
123612.0  48539.67 99
123613.0  48538.73 99
123614.0  48539.73 99
123615.0  48541.64 99
123616.0  48543.46 99
123617.0  48542.10 99
123618.0  48540.12 99
123619.0  48538.06 99
123620.0  48538.32 99
123621.0  48539.49 99
123622.0  48539.23 99
123623.0  48541.30 99
123624.0  48539.92 99
123625.0  48538.84 99
123626.0  48536.39 99
123627.0  48538.09 99
123628.0  48540.02 99
123629.0  48542.20 99
123630.0  48542.58 99
123631.0  48542.99 99
123632.0  48539.58 99
123633.0  48539.14 99
123634.0  48540.13 99
123635.0  48541.93 99
123636.0  48542.53 99
123637.0  48541.11 99
123638.0  48539.11 99
123639.0  48538.82 99
123640.0  48540.85 99
123641.0  48542.50 99
123642.0  48544.22 99
123643.0  48541.90 99
123644.0  48540.16 99
123645.0  48538.76 99
123646.0  48538.61 99
123647.0  48539.68 99
123648.0  48541.32 99
123649.0  48543.92 99
123650.0  48542.03 99
123651.0  48540.80 99
123652.0  48539.57 99
123653.0  48540.35 99
123654.0  48541.55 99
123655.0  48543.90 99
123656.0  48543.97 99
123657.0  48543.87 99
123658.0  48542.30 99
123659.0  48539.91 99
123700.0  48539.91 99
123701.0  48541.12 99
123702.0  48542.61 99
