 # MagPy - ASCII
 # DataPier:  A2
 # DataComponents:  IDFF
 # StationID:  WIC
 # DataFormat:  MagPyDI
# head:
Epoch[],i[deg],d[deg],f[nT],f[nT],T[deg C],ScaleValueDI[deg/unit],Dec_S0[],Dec_deltaH[],Dec_epsilonZ[],Inc_S0[],Inc_epsilonZ[],H-base[nT],D-base[deg],Z-base[nT],dF[],Person[],DI-Inst[],Mire[],F-type[],-[],-[],-[],-[]
# data:
2015-08-05T14:42:29.980800,64.2688790896,3.72479794766,48482.0907927,48482.0907927,7.3,nan,-2.3143951691,-4.21428803317,17.9119683784,nan,nan,nan,nan,nan,nan,Kornfeld,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,180.137196,Fext,0000000000000000-,-,idff,-
2015-08-12T07:52:59.980796,64.2884156634,3.91580620548,48474.9829777,48474.9829777,6.9,0.996079048032,-1.30106466559,-3.11124151945,17.8185247513,-2.85145064992,16.7568764469,20961.0503167,3.86620548564,43568.0789459,nan,Herzog,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,180.137196,Fext,0000000000000000-,-,idff,-
2015-08-12T08:21:00.028795,64.2848351619,3.905352427,48474.9959664,48474.9959664,6.9,1.00472843948,-3.78844737202,-4.4010325676,15.8352887471,-2.15164786238,16.0621580942,20960.4124224,3.86455831222,43568.4165739,nan,Herzog,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,180.137196,Fext,0000000000000000-,-,idff,-
2015-08-19T06:27:00.000000,64.3154350303,3.91253786818,48475.0550409,48475.0550409,6.9,0.988049182603,-0.514338062393,-3.96309270136,16.4426551394,0.503866160794,16.1675509949,20960.2182511,3.86183042506,43568.5173245,nan,Herzog,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,180.137196,Fext,0000000000000000-,-,idff,-
2015-08-19T06:58:00.019195,64.3076020134,3.90399464562,48479.2518529,48479.2518529,6.9,0.992600536394,1.03298105908,-4.8951675914,15.6272544615,1.11771975678,15.4543430505,20960.4657318,3.86391445696,43568.4431825,nan,Herzog,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,180.137196,Fext,0000000000000000-,-,idff,-
2015-08-26T06:51:00.028795,64.2685954727,3.8634825781,48493.3325692,48493.3325692,6.9,0.991746041813,0.334810268878,-3.03173658144,16.2327968094,1.09583487461,16.852343936,20960.8233981,3.86058336702,43568.1405095,nan,Herzog,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,180.137196,Fext,0000000000000000-,-,idff,-
2015-08-26T07:23:00.009600,64.2781279833,3.86479381338,48489.7515091,48489.7515091,6.9,0.974467484473,1.425684327,-4.26792717026,15.7619974247,1.12166275005,15.6732548534,20960.6980732,3.86441095064,43568.2229699,nan,Herzog,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,180.137196,Fext,0000000000000000-,-,idff,-
2015-09-02T07:02:00.038402,64.2845910876,3.93021676503,48486.6579144,48486.6579144,6.9,0.977301759785,2.13118166135,-4.68032336521,17.6077039655,0.322103106605,16.8739532274,20960.6186765,3.86423312302,43568.2324867,nan,Herzog,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,180.137196,Fext,0000000000000000-,-,idff,-
2015-09-02T07:36:59.990399,64.2955818754,3.92636266119,48482.034961,48482.034961,6.9,0.9785688621,0.637188014684,-3.62691332211,15.4782842774,1.03439554752,15.5761959707,20959.9977899,3.86386615067,43568.5473516,nan,Herzog,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,180.137196,Fext,0000000000000000-,-,idff,-
2015-09-09T07:03:00.000000,64.3532211808,3.85682296467,48456.7435128,48456.7435128,6.9,0.980375792061,1.70588655643,-4.4868720846,17.2138290639,1.73113627039,15.4982492003,20959.9101673,3.86556613006,43568.5508058,nan,Herzog,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,180.137196,Fext,0000000000000000-,-,idff,-
2015-09-09T07:34:00.019197,64.3364191601,3.84418036854,48464.0006491,48464.0006491,6.9,0.955739374006,2.1534990605,-4.02909889078,15.1265002197,2.17954131394,14.7668286552,20960.0660614,3.86547514542,43568.5487388,nan,Herzog,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,180.137196,Fext,0000000000000000-,-,idff,-
